"date","hour_int","load","weekday_int","month_int"
2022-07-22 14:00:00,14,59571.5,6,7
2022-07-22 15:00:00,15,58351,6,7
2022-07-22 16:00:00,16,57704.25,6,7
2022-07-22 17:00:00,17,56910.5,6,7
2022-07-22 18:00:00,18,56191.25,6,7
2022-07-22 19:00:00,19,54940.75,6,7
2022-07-22 20:00:00,20,52412.75,6,7
2022-07-22 21:00:00,21,50507.25,6,7
2022-07-22 22:00:00,22,48450.25,6,7
2022-07-22 23:00:00,23,45187,6,7
2022-07-23 00:00:00,0,42369.75,7,7
2022-07-23 01:00:00,1,41045.75,7,7
2022-07-23 02:00:00,2,39529,7,7
2022-07-23 03:00:00,3,38876,7,7
2022-07-23 04:00:00,4,38619,7,7
2022-07-23 05:00:00,5,38741.5,7,7
2022-07-23 06:00:00,6,40338.5,7,7
2022-07-23 07:00:00,7,43043.5,7,7
2022-07-23 08:00:00,8,45942.25,7,7
2022-07-23 09:00:00,9,48731,7,7
2022-07-23 10:00:00,10,51036.5,7,7
2022-07-23 11:00:00,11,52245,7,7
2022-07-23 12:00:00,12,52740,7,7
2022-07-23 13:00:00,13,51766,7,7
2022-07-23 14:00:00,14,50614,7,7
2022-07-23 15:00:00,15,49548,7,7
2022-07-23 16:00:00,16,48829.5,7,7
2022-07-23 17:00:00,17,49143,7,7
2022-07-23 18:00:00,18,49122.75,7,7
2022-07-23 19:00:00,19,48182,7,7
2022-07-23 20:00:00,20,46213.75,7,7
2022-07-23 21:00:00,21,45016.75,7,7
2022-07-23 22:00:00,22,44067.25,7,7
2022-07-23 23:00:00,23,41632.75,7,7
2022-07-24 00:00:00,0,39032.75,1,7
2022-07-24 01:00:00,1,36975.75,1,7
2022-07-24 02:00:00,2,35878.5,1,7
2022-07-24 03:00:00,3,35647.25,1,7
2022-07-24 04:00:00,4,35484.75,1,7
2022-07-24 05:00:00,5,35660.25,1,7
2022-07-24 06:00:00,6,36806,1,7
2022-07-24 07:00:00,7,39124,1,7
2022-07-24 08:00:00,8,42481.5,1,7
2022-07-24 09:00:00,9,45200.25,1,7
2022-07-24 10:00:00,10,47517,1,7
2022-07-24 11:00:00,11,49054.25,1,7
2022-07-24 12:00:00,12,48539.25,1,7
2022-07-24 13:00:00,13,47473,1,7
2022-07-24 14:00:00,14,46446.5,1,7
2022-07-24 15:00:00,15,45671.75,1,7
2022-07-24 16:00:00,16,45747.25,1,7
2022-07-24 17:00:00,17,45900,1,7
2022-07-24 18:00:00,18,46203.25,1,7
2022-07-24 19:00:00,19,46212.5,1,7
2022-07-24 20:00:00,20,45453.5,1,7
2022-07-24 21:00:00,21,45018.25,1,7
2022-07-24 22:00:00,22,45271.75,1,7
2022-07-24 23:00:00,23,43136.25,1,7
2022-07-25 00:00:00,0,41016.5,2,7
2022-07-25 01:00:00,1,40482,2,7
2022-07-25 02:00:00,2,40193,2,7
2022-07-25 03:00:00,3,39995.5,2,7
2022-07-25 04:00:00,4,41736.75,2,7
2022-07-25 05:00:00,5,44191.5,2,7
2022-07-25 06:00:00,6,50793.25,2,7
2022-07-25 07:00:00,7,56112.5,2,7
2022-07-25 08:00:00,8,59839,2,7
2022-07-25 09:00:00,9,62322.75,2,7
2022-07-25 10:00:00,10,64116.75,2,7
2022-07-25 11:00:00,11,66117,2,7
2022-07-25 12:00:00,12,66870.5,2,7
2022-07-25 13:00:00,13,66092.75,2,7
2022-07-25 14:00:00,14,65070.75,2,7
2022-07-25 15:00:00,15,64343.25,2,7
2022-07-25 16:00:00,16,63107,2,7
2022-07-25 17:00:00,17,62597.5,2,7
2022-07-25 18:00:00,18,61885.5,2,7
2022-07-25 19:00:00,19,61251.25,2,7
2022-07-25 20:00:00,20,57274.5,2,7
2022-07-25 21:00:00,21,54898,2,7
2022-07-25 22:00:00,22,52218.5,2,7
2022-07-25 23:00:00,23,48275.75,2,7
2022-07-26 00:00:00,0,45583.75,3,7
2022-07-26 01:00:00,1,44200.5,3,7
2022-07-26 02:00:00,2,42711,3,7
2022-07-26 03:00:00,3,43186.25,3,7
2022-07-26 04:00:00,4,44381,3,7
2022-07-26 05:00:00,5,46816.75,3,7
2022-07-26 06:00:00,6,52124,3,7
2022-07-26 07:00:00,7,56448.25,3,7
2022-07-26 08:00:00,8,59880.25,3,7
2022-07-26 09:00:00,9,61623.5,3,7
2022-07-26 10:00:00,10,62912.25,3,7
2022-07-26 11:00:00,11,64819.75,3,7
2022-07-26 12:00:00,12,64658.5,3,7
2022-07-26 13:00:00,13,63287.5,3,7
2022-07-26 14:00:00,14,62307,3,7
2022-07-26 15:00:00,15,60580.5,3,7
2022-07-26 16:00:00,16,59277.75,3,7
2022-07-26 17:00:00,17,58199.25,3,7
2022-07-26 18:00:00,18,57111.5,3,7
2022-07-26 19:00:00,19,55700.75,3,7
2022-07-26 20:00:00,20,53289.25,3,7
2022-07-26 21:00:00,21,51760.5,3,7
2022-07-26 22:00:00,22,49402.5,3,7
2022-07-26 23:00:00,23,46383.5,3,7
2022-07-27 00:00:00,0,44212.5,4,7
2022-07-27 01:00:00,1,42305,4,7
2022-07-27 02:00:00,2,41340.75,4,7
2022-07-27 03:00:00,3,41515.5,4,7
2022-07-27 04:00:00,4,42302.5,4,7
2022-07-27 05:00:00,5,45217.25,4,7
2022-07-27 06:00:00,6,50722.75,4,7
2022-07-27 07:00:00,7,55103.25,4,7
2022-07-27 08:00:00,8,58047.75,4,7
2022-07-27 09:00:00,9,59852.25,4,7
2022-07-27 10:00:00,10,62405,4,7
2022-07-27 11:00:00,11,63311.75,4,7
2022-07-27 12:00:00,12,62829,4,7
2022-07-27 13:00:00,13,61755.75,4,7
2022-07-27 14:00:00,14,60201.75,4,7
2022-07-27 15:00:00,15,59394.25,4,7
2022-07-27 16:00:00,16,58570.5,4,7
2022-07-27 17:00:00,17,57661,4,7
2022-07-27 18:00:00,18,56644.5,4,7
2022-07-27 19:00:00,19,55641.75,4,7
2022-07-27 20:00:00,20,53574,4,7
2022-07-27 21:00:00,21,51875,4,7
2022-07-27 22:00:00,22,49706,4,7
2022-07-27 23:00:00,23,46350.25,4,7
2022-07-28 00:00:00,0,44062,5,7
2022-07-28 01:00:00,1,42274.5,5,7
2022-07-28 02:00:00,2,41704.25,5,7
2022-07-28 03:00:00,3,41892.25,5,7
2022-07-28 04:00:00,4,42378.5,5,7
2022-07-28 05:00:00,5,44725.25,5,7
2022-07-28 06:00:00,6,50446.75,5,7
2022-07-28 07:00:00,7,54741.25,5,7
2022-07-28 08:00:00,8,58325,5,7
2022-07-28 09:00:00,9,59776.5,5,7
2022-07-28 10:00:00,10,61545,5,7
2022-07-28 11:00:00,11,62436.75,5,7
2022-07-28 12:00:00,12,62913.75,5,7
2022-07-28 13:00:00,13,62168.75,5,7
2022-07-28 14:00:00,14,61095.75,5,7
2022-07-28 15:00:00,15,59979.5,5,7
2022-07-28 16:00:00,16,58219,5,7
2022-07-28 17:00:00,17,57616.75,5,7
2022-07-28 18:00:00,18,56926.25,5,7
2022-07-28 19:00:00,19,56436.25,5,7
2022-07-28 20:00:00,20,54526,5,7
2022-07-28 21:00:00,21,53310,5,7
2022-07-28 22:00:00,22,51446.75,5,7
2022-07-28 23:00:00,23,47965.75,5,7
2022-07-29 00:00:00,0,45478.75,6,7
2022-07-29 01:00:00,1,43911.25,6,7
2022-07-29 02:00:00,2,42847.25,6,7
2022-07-29 03:00:00,3,42793,6,7
2022-07-29 04:00:00,4,43126.5,6,7
2022-07-29 05:00:00,5,45401,6,7
2022-07-29 06:00:00,6,50885.25,6,7
2022-07-29 07:00:00,7,55297.25,6,7
2022-07-29 08:00:00,8,58381.5,6,7
2022-07-29 09:00:00,9,59861.25,6,7
2022-07-29 10:00:00,10,61514,6,7
2022-07-29 11:00:00,11,62798.25,6,7
2022-07-29 12:00:00,12,62821.5,6,7
2022-07-29 13:00:00,13,61404,6,7
2022-07-29 14:00:00,14,59459.5,6,7
2022-07-29 15:00:00,15,57810.75,6,7
2022-07-29 16:00:00,16,56793.25,6,7
2022-07-29 17:00:00,17,56761.75,6,7
2022-07-29 18:00:00,18,56162.5,6,7
2022-07-29 19:00:00,19,54421.5,6,7
2022-07-29 20:00:00,20,51878.5,6,7
2022-07-29 21:00:00,21,50626.75,6,7
2022-07-29 22:00:00,22,48154,6,7
2022-07-29 23:00:00,23,45019.5,6,7
2022-07-30 00:00:00,0,41973,7,7
2022-07-30 01:00:00,1,40169.75,7,7
2022-07-30 02:00:00,2,38732.5,7,7
2022-07-30 03:00:00,3,38053,7,7
2022-07-30 04:00:00,4,37890.5,7,7
2022-07-30 05:00:00,5,38204.25,7,7
2022-07-30 06:00:00,6,39422.75,7,7
2022-07-30 07:00:00,7,41899.25,7,7
2022-07-30 08:00:00,8,45455,7,7
2022-07-30 09:00:00,9,47911.75,7,7
2022-07-30 10:00:00,10,49730.75,7,7
