"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45"
"2017-05-30 11:00:00",70272.25,64670.7973810162,66538.0885707108,66398.4696895946,66911.7831342218,66950.3297486432,67319.1865089352,67570.8369760371,67756.5098857449,67930.6948950522,68036.4990187846,68154.5982063337,68297.7159246015,68381.8312573204,68445.218417786,68530.2804651974,68568.3097913423,68632.2363272942,68699.4937810733,68809.2236825249,68856.8462532135,68941.4478949124,69077.3604579311,69036.2463071549,69200.3526448999,69281.4630220376,69350.4633656069,69425.1841951048,69446.9531731588,69577.9906818094,69684.2688701735,69716.2726175377,69800.8003958926,69850.0651999273,70005.4888718972,69952.3839946699,70104.7312067738,69966.561314886,70066.0723428476,70223.0917741096,70414.5582867088,70476.6578366001,70780.3300313455,71104.8506308741,71258.0581900494,72116.6243746006
"2017-05-31 11:00:00",70018,65191.3552875635,67078.0119532457,67062.139617991,67467.5214672089,67522.2563108062,67826.8406618717,68117.2742975627,68225.8349483387,68373.4876100311,68464.2521026076,68572.3889279896,68682.1930193476,68774.4424220124,68825.9839069127,68905.084252884,68945.7689547729,68994.5597282337,69059.7438465845,69174.1522722284,69236.0442099116,69342.0344584029,69427.8942748223,69403.8068997236,69552.2099908929,69622.0425761563,69687.9095189129,69768.9290509495,69790.3795755709,69902.4147930626,70002.6697170774,70044.2297615823,70181.9314413927,70234.4565259377,70326.8974823533,70331.9387448061,70436.8630271073,70426.2766674317,70437.921047725,70622.5783638454,70770.4156858779,70928.4574159723,71120.6659686255,71416.6804710086,71633.1093106479,72431.4211461167
"2017-06-01 11:00:00",68246.75,63394.8506654604,65394.3872462655,66292.2063544133,66504.7036494122,66644.3834574062,66884.1414099631,67119.7836265329,67361.0544511531,67495.0594050126,67569.6888524474,67682.2162903872,67778.1274813783,67909.4921717849,67959.4373962375,68059.0063416268,68116.1296593354,68148.3209474548,68221.5360259548,68304.9861994384,68383.519291146,68519.4772059135,68563.6637608046,68657.8034050985,68760.3059666848,68819.209091992,68913.7066613542,68994.1534533143,69033.6927579451,69091.4933434018,69181.348266627,69205.4512069923,69320.2557672601,69346.1840118359,69443.1859054611,69521.7557261237,69590.9696042548,69685.5084991032,69733.2657916116,69952.259280247,70083.2377011981,70365.8754717937,70550.8700817951,70981.4634117565,71295.7425139536,71990.9689750185
"2017-06-02 11:00:00",68491.5,62062.3593274098,64313.4862947805,65283.8372521164,65523.7743103827,65691.7883471934,65969.4456193197,66264.1483793847,66532.1472956623,66691.8079916425,66776.0906543805,66907.6777766022,67018.9752803364,67185.0431542071,67236.5560365255,67367.5284168766,67451.1625498564,67458.3103672992,67542.7659326757,67620.9564776411,67666.7952193007,67834.9675864264,67885.5437765206,67996.4036685655,68113.1756477636,68177.4999164968,68293.9821523703,68362.8462959129,68399.4203985531,68458.3168983265,68541.804252591,68568.3834413968,68669.521648054,68697.6271362508,68781.2055830776,68863.745780712,68937.4026517672,69051.1322842793,69095.2864274122,69298.2832130282,69440.7317490756,69705.8645167357,69909.5836988244,70394.9792215243,70751.2613845465,71398.4223573499
"2017-06-03 11:00:00",56412,47784.3296336619,52461.9256489058,53754.8090964739,53977.3427260557,54205.4506209298,54389.4289365134,54755.5375984384,55057.3000867375,55191.7531267135,55261.0219406242,55373.3251226122,55541.8915824694,55676.4096684865,55708.6362999095,55792.2649652697,55911.5449890487,55910.2588533667,56017.0964858628,56094.3373217621,56247.9346311769,56424.7659059186,56466.1749754966,56581.5446892428,56640.0103933922,56686.9458134861,56868.8640294532,57055.8276466703,57135.2824177047,57254.4398339325,57411.7122740086,57443.961712464,57581.7784852119,57635.4586661743,57782.9741499817,57820.5233347077,57887.3388417841,58088.8028586175,58228.08306682,58503.402764937,58566.8412373574,58932.0849456301,59033.6517535118,59932.3119340389,60919.081779626,61635.4566152546
"2017-06-04 11:00:00",49872,30056.853111546,37845.7063829367,41135.2889391272,41488.0753627469,42139.5371478924,42765.2728979943,43856.0450099587,44687.9584019836,45071.8256335985,45295.2340165271,45667.3185507145,45937.2232478203,46546.5339154402,46695.7504779144,47044.3148647426,47360.7784401422,47365.3656781703,47587.8372364926,47597.5730835606,47343.797679614,47863.3778634139,47995.985121549,48150.7179660028,48678.6138906166,48740.8343489022,49220.8867668448,49295.930137016,49310.5331127529,49439.4398673235,49554.3541258004,49505.2387060098,49446.999301456,49581.3402111725,49621.3683847755,49653.9925988887,49748.9194673553,50306.8732073861,50438.5349935728,50536.7757367725,50436.0163223676,51012.5808600727,51363.0125093235,53085.3272404842,54657.1715727397,54614.1014961464
"2017-06-05 12:00:00",49576.25,51074.0302795781,54649.5917855843,58007.1509965825,57687.0028714362,58016.9175304904,58008.9065562199,58103.3089126046,58387.8135057359,58731.4832303994,58753.5662291139,58833.3690014161,58936.8700334836,58947.2530237403,59101.2123603741,59108.5126211844,59214.7996259605,59116.8766734039,59352.5248852083,59375.721603832,59459.2570428209,59459.8327937939,59852.4863546271,60067.4360278231,60201.9014502672,60206.7794509165,60380.532868416,60441.9336951603,60520.7154859624,60570.1279848921,60655.1191711231,60662.0523927613,60825.4153755246,60804.450006369,60988.2957110032,61036.7919454243,61145.1525951988,61272.913443011,61613.4988653101,62012.0153098041,62116.5007779789,62720.4698181526,62830.4607971176,63781.7365268051,64705.407433415,65233.7963843955
"2017-06-06 11:00:00",69677.75,55183.0986849788,57294.7402165512,61404.6473899048,61494.3175559491,61392.469608795,61627.2659867968,62384.7138650176,63015.3827315402,63320.608994247,63806.6855011051,64025.239034587,64187.9688628708,64491.4727547011,64669.9757451388,64800.5839076569,64906.0970549781,64941.008743778,65144.5770118833,65061.7745861561,65336.838502785,65483.0566571225,65599.7839871511,65852.8113722095,66314.7285892999,66189.1569186487,66408.6566413677,66483.7031516818,66499.1612181688,66557.3814822442,66521.8881794474,66531.7129533141,66529.3381763841,66519.9529376306,66594.4993686045,66706.939654584,66748.5064041544,66900.3713434388,67190.6451865133,67171.3043396882,67411.1573183278,68138.6449251814,68432.970968297,69436.4849001379,70087.4314641428,70203.584641184
"2017-06-07 11:00:00",70083.5,61696.1789515652,63466.2623469439,65513.3851051028,65693.2200086118,65737.6492754691,66144.7021061125,66523.5119353125,66861.7234329975,67142.7915167961,67367.675727312,67540.9882403173,67706.547896827,67861.0088382225,67991.897415388,68170.834671071,68217.081982045,68244.4657262346,68397.8702735726,68464.9890697619,68555.8935261601,68651.4284698995,68903.6566333267,69082.3771499812,69221.9450535863,69263.484027198,69332.8023459198,69389.9876143138,69445.2633708392,69483.1287033123,69485.2917146345,69505.1453891845,69564.4827449687,69590.3055761199,69750.8085512737,69806.1146536386,69918.6873112512,70021.0374218113,70290.5226475882,70401.5944079935,70661.0436308325,70781.3138330594,71026.1891638587,71728.5499902119,71984.1645015774,72405.3178984333
"2017-06-08 11:00:00",67858,59581.2689943968,61386.6345353373,64670.6029223885,64693.7425098015,64656.644615712,65204.4385594062,65147.9434134155,65438.2239538605,65837.4390428309,66060.0601200901,66164.1382842928,66251.3922086042,66338.866654137,66474.3483292396,66593.4167325046,66557.4751170888,66686.3610292938,66805.5955395473,66883.1912301784,66904.6007711822,67088.0559540836,67283.9396409275,67584.5729069086,67640.2252837508,67645.3742145766,67763.7350579614,67799.2467680236,67888.2811681031,67935.8711872867,67897.657647027,67907.3704791095,68070.7166720373,68113.7471224474,68232.3276813577,68388.1456905306,68646.0016883383,68687.1079209595,68931.0960723283,69098.9416843796,69317.7633869021,69590.4895629453,69765.6738247836,70603.473507492,70929.7888985617,71389.3010866234
"2017-06-09 11:00:00",69263.25,62288.4804275992,64775.8626517165,65352.378519689,65516.3984453305,65679.2480853185,65780.8378181762,66120.6794614338,66154.212571154,66217.1223367216,66286.0921265111,66368.7343505502,66488.3915251284,66563.6711485121,66529.3366847425,66624.3764940958,66723.8962854136,66725.1109987801,66780.0573414501,66854.674171927,66918.8487617149,67024.0818406042,67064.624800608,67092.6678242478,67165.0500211574,67264.1862625724,67404.2968715623,67454.0314051542,67515.6075399509,67597.0354449337,67700.4272136239,67756.6061700321,67844.7222156019,67968.2660749463,68001.0531884364,68118.7942516127,68130.4645471974,68203.4020196965,68287.1108981119,68419.0926107019,68675.4259472647,68895.3057083347,69048.1576875482,69459.5903156714,69774.1630261088,70611.4794927803
"2017-06-10 11:00:00",57411,47215.1260111908,52097.5769066481,54115.1396132701,54334.5484881705,54496.8163902433,54805.5976732197,55312.7900080986,55419.0202263506,55646.4655345649,55673.9484110167,55792.3804504003,56009.0309000044,56113.0011608767,56163.4110996772,56279.2139681285,56364.7544309383,56446.930148028,56480.7239072104,56596.3639770818,56808.6491365096,56987.4496399748,57027.7926490318,57104.1664388297,57136.6069293876,57171.0684778983,57466.9078345593,57542.39212146,57650.6547143573,57733.9516881928,57841.7142888923,57894.931707265,58028.9171488283,58106.6469687187,58162.2979485503,58236.7313446865,58361.3279954628,58476.0544332868,58616.7403550565,58843.2181457044,59183.5979029711,59219.2933516685,59373.5660020883,60246.9682192496,61179.8514923206,61909.104790301
"2017-06-11 11:00:00",50745.5,40789.0969096721,46665.7643049163,49785.3322226591,49882.4106751159,50008.0786318047,50219.2571161664,50444.5338182652,50589.7262259743,50811.1634056578,50861.6329013551,50939.8713527924,51108.685288279,51122.826895389,51172.8792053781,51158.1516537841,51253.9419280411,51284.2604289184,51405.136698677,51452.6002051274,51668.2528268305,51873.5054721361,51887.8706203078,51995.3841030597,51997.244443826,52004.7577112901,52352.5306607882,52437.1903654309,52593.3881025117,52698.0175769589,52812.2113031572,52890.0989531016,53087.8777993157,53145.2053557879,53252.6171326425,53382.0769703298,53608.2364733337,53700.9243358055,53842.1584294588,54135.5608375944,54649.8656045183,54595.7264137313,54667.4430806475,55710.3992348579,56915.5179540621,57763.1489973036
"2017-06-12 12:00:00",69934.75,60711.9624618105,62839.014488961,64492.0246657266,64718.1488108598,64802.0096649986,65347.7438727253,65799.8865315135,65972.8204847029,66302.4125648872,66424.8769713693,66611.4830767127,66783.6847473726,66943.8802013871,67147.2116907779,67316.6672052526,67331.341886038,67454.4433670492,67499.1273896409,67603.1352949479,67724.0469038615,67948.7642578269,68083.1443268857,68201.3553780744,68265.1624348511,68309.7107510189,68393.4388678152,68506.6474413211,68529.09106565,68539.3880201307,68598.0765127075,68607.9756172205,68664.5821994785,68717.5262588853,68837.4290286142,68871.0019108579,68966.1664692419,69066.5506041729,69217.681526072,69357.7103685104,69608.3579259514,69774.3502295741,70011.4145935249,70694.2386316781,71008.5551001033,71468.4713297905
"2017-06-13 11:00:00",69803,65017.9480172874,66821.5207792688,67414.2535141981,67625.140499589,67761.5899410892,68046.9601150011,68476.8077402498,68579.6478160975,68736.4765169177,68798.7122376472,68942.01507859,69094.8722766119,69196.2753668818,69303.5922916551,69404.0022005279,69469.3194282689,69526.3104908292,69579.5500357084,69657.5492213182,69761.3261206739,69886.6635724904,69971.0133268032,70004.0041701963,70099.8840929125,70172.2041550364,70293.0217839554,70336.0755087024,70357.1791124541,70437.5635975098,70498.9980424202,70515.3120276852,70594.4237997377,70699.4828977675,70760.013556812,70807.2654779221,70826.4057325631,70917.9177375931,71022.6559005244,71184.0152899844,71441.2223216176,71556.7935223648,71761.7354367005,72151.4674435644,72362.1817275529,73028.0001447017
"2017-06-14 11:00:00",67146.25,64436.3792990564,66089.6184697765,67286.7515207785,67462.0857345953,67611.6858449551,67932.3284731006,68261.6482487125,68421.4536043195,68681.0074029535,68750.1552514892,68882.3017689037,69055.6109103181,69137.6217106743,69281.394266018,69390.7484608337,69430.7692195673,69495.665233195,69564.5982503328,69643.8678325559,69732.4164587095,69873.2498432214,69990.0107292752,70086.4486531673,70153.6108339884,70230.3487557503,70345.5793663408,70396.5150915977,70407.3775831167,70465.7723829848,70514.0402235178,70524.9130818811,70607.7589380882,70708.0990980086,70780.8530500514,70848.3490855769,70919.019955542,70998.1313560922,71132.783654943,71315.6873240663,71580.5604601533,71698.8666341713,71902.6636765654,72386.0475520761,72597.3982714057,73186.6271662416
"2017-06-15 11:00:00",57365.5,50825.1211610951,54829.9304328291,56746.896898184,57108.3073908341,57219.1853394949,57669.173582772,58147.9613008995,58516.4561472437,58839.3033737367,58860.8508993872,59074.8062695321,59273.6642513242,59505.7043124045,59608.7849193741,59795.1045545711,59852.5190758383,59974.5149867742,60008.7137083643,60122.1568055045,60255.5286821139,60494.0027163276,60603.7003692057,60754.0812752378,60785.103242225,60821.254840009,61068.3225321836,61161.6482867291,61215.1493238713,61300.1345486887,61337.3173676503,61368.6444997916,61454.1765294397,61539.976724607,61627.0003192364,61635.5889643615,61764.6441517696,61901.2609165263,62098.1443335146,62290.0458744975,62483.7590229928,62591.2750967501,62804.9216249221,63811.4624753502,64436.4927213976,64973.8969889448
"2017-06-16 11:00:00",65625.5,57160.3492773722,59332.4639604423,62910.3145163095,62992.3182105714,62957.1142647236,62871.222183977,63356.1750955493,63674.5897529999,63952.8081625232,64315.1738765755,64393.3416827468,64498.4733175274,64587.1481308406,64741.353791092,64797.440759689,64936.6177748951,64860.3024393852,65075.9979876779,65168.2403861963,65175.8996293,65509.3892157467,65576.7374831312,65925.2983808233,65938.2472579269,65932.7627045376,66091.6359583812,66144.3113606752,66185.9440618401,66215.1735567947,66221.7849432717,66236.9694614823,66371.574263547,66445.5249031382,66567.0973093282,66736.4059669911,67015.0434302425,67043.5194668588,67261.1767450781,67451.9878582874,67858.8649634946,68016.358421407,68163.4919270961,69081.5616120348,69501.7552753334,69961.8552544678
"2017-06-17 11:00:00",56365,42950.6483139156,48155.1987517856,51593.9983396858,51698.9543310945,51776.6522267137,51877.902912177,52353.4765952719,52608.8979301962,52840.394006435,52972.7937071859,53089.8959495469,53273.9359144953,53420.9833395186,53486.8979008382,53588.7210930499,53663.0398076401,53685.1484445717,53773.656279204,53840.1100299812,53892.8234253628,54322.7169706792,54380.7642705545,54474.8808683351,54555.4955638923,54548.6661985811,54827.7923263961,54949.0471250595,55071.8331958117,55137.3605321204,55230.3416961905,55288.9345079357,55421.1996469016,55496.0772858614,55559.1304296729,55737.4928572948,55926.2242403999,56082.8866858032,56280.1017962716,56517.3020978046,56811.8942151696,56979.5570575659,57094.151710158,58205.1253557915,59271.7705313356,59991.4667642043
"2017-06-18 11:00:00",50636,37082.3817111349,43141.0771530909,47794.0357823179,47710.8075201377,47755.0529043397,47976.0166976337,48223.9606474122,48300.9747033091,48582.7973570434,48651.5955848208,48779.1228813721,48924.8025873252,48976.7040931189,49074.5129774313,49227.3145055983,49161.7306271416,49201.7508462594,49228.9133613478,49314.7041604195,49303.4189686038,49815.3259098068,49841.4511867997,50017.8718722552,50008.9102465783,49977.6302215778,50380.723247852,50423.6767819579,50590.8890630264,50808.4925929809,50803.8311181539,50883.5816919347,51103.7576158337,51131.2229437302,51281.8730343827,51434.3880104787,51840.3352122623,51918.4632882681,52039.2396579154,52353.7845732588,52682.2130618056,52894.0824884369,52936.4261709906,54222.6474771635,55530.1505789169,56360.8742277262
"2017-06-19 11:00:00",68752.25,60612.7624552328,63305.7489116518,64055.1403902834,64269.8308614234,64409.9596181046,64633.0190667862,64808.6340383478,65032.5847393077,65100.9942706378,65207.413173779,65286.9976846093,65433.9717111478,65490.7280045247,65535.5919754261,65611.8747921599,65692.6668382356,65703.936658517,65787.9216563049,65878.4248040751,65938.0824692265,66060.3740157878,66129.413445561,66187.2323796899,66254.8257383026,66404.4421749193,66499.0949850529,66602.8281916689,66641.9145478192,66720.3559141683,66817.7609022036,66860.3582050771,67014.3957987777,67058.2475084607,67137.8612906568,67203.0218773818,67240.8909909522,67316.368642948,67410.6771599566,67615.4512393833,67826.6162285044,68011.1978064546,68170.5938829281,68617.1085159028,69026.1453343512,69868.284135366
"2017-06-20 11:00:00",70126.75,63878.8136015959,66137.5619918017,66404.6737769956,66607.7539881442,66760.5965508127,66935.4080458288,67077.6524610273,67269.0860926305,67321.6553583248,67372.5520565001,67435.0337745628,67560.3820403026,67578.7078163619,67610.7329295617,67657.9986204494,67756.1929954965,67757.1050742725,67862.4402441991,67922.5200214292,68054.965824295,68060.8968901888,68129.4998533819,68151.3958490535,68228.2939109619,68446.9507729666,68462.1264699492,68541.6803108525,68592.8613511324,68725.8478584813,68785.8209128945,68821.3990978908,68979.4601538201,69049.340862378,69150.3615222976,69165.9188711451,69196.5213083972,69290.786703076,69334.9756504947,69599.8528926714,69789.6915324372,69949.5093632481,70143.3408843941,70466.2222898578,70661.9036817871,71565.8345684634
"2017-06-21 11:00:00",69681.25,63913.0024449214,65757.6437460363,66705.7478890278,66966.4229313697,67064.9615350076,67372.6384923943,67550.0741402789,67844.8602336533,68017.9670894483,68162.2017281427,68262.2659581266,68390.5990627571,68500.5620584189,68610.8177468387,68730.8085274006,68780.9191956939,68818.448038156,68902.709923667,68990.4138504143,69097.9985359449,69222.8250615055,69269.0469406991,69394.24370216,69475.7315975773,69593.3931765359,69653.277076121,69716.7137985207,69752.6946647534,69809.6989696966,69860.7990235337,69906.9092760762,69993.7800749912,70044.8708295773,70142.0707751669,70218.7729930291,70289.5843152021,70393.4236273319,70471.7202720844,70648.1203279775,70966.3390957144,71079.432113529,71315.1195656703,71779.0725142205,71946.2514955393,72572.2564343343
"2017-06-22 11:00:00",71248.25,63279.2081178763,65271.0257190895,66246.2176292832,66483.9012591824,66586.6492849332,66870.3846690581,67041.2592108343,67309.6431441545,67468.7685071585,67600.1098855389,67694.8844334725,67819.9130412083,67915.758453708,68010.6328364763,68123.7274643613,68177.1469653451,68211.3991394033,68298.2838394605,68384.4075568748,68494.8996800114,68605.1597423885,68655.8471123684,68764.1996811274,68849.7999958668,68978.9482821435,69040.1052523655,69101.5172608251,69142.9112188708,69211.9669930776,69262.0007034508,69325.4810908732,69404.124653694,69457.6918245674,69558.5945129993,69633.741186701,69709.1273324125,69808.1650935181,69887.9834793848,70075.4810662902,70351.6454502913,70500.6558593087,70693.4388002469,71179.4763141763,71387.1067542595,72057.8226105573
"2017-06-23 11:00:00",70694.25,63831.5428258632,65667.9339977818,66600.5736515419,66889.2753172671,66987.537751872,67322.2341287044,67514.1924104169,67843.6697552942,68022.5603208184,68180.824405929,68287.858368515,68427.1081224834,68554.5461730077,68669.3366974902,68802.8974945285,68855.8226178285,68891.1844078572,68987.7466369229,69082.3138684941,69190.7500233636,69319.3028867377,69378.9352665339,69503.2161221204,69590.6524997131,69690.277041652,69753.7321236075,69819.1782268552,69851.0840278124,69926.7843937763,69955.2059210648,70007.2416509729,70082.0407681094,70150.5632606248,70231.2808438572,70295.250335377,70394.5602068149,70473.0735856851,70576.6141678707,70751.7019450207,71085.2207084727,71178.0407874041,71399.8361095212,71903.023433808,72038.2823204036,72626.6795507731
